bug_report_id,file_diff_id
WFCORE-2015,362
WFCORE-2015,363
WFCORE-2015,364
WFCORE-2013,365
WFCORE-2013,366
WFCORE-2013,367
WFCORE-2013,363
WFCORE-2009,368
WFCORE-2009,369
WFCORE-2009,370
WFCORE-2009,371
WFCORE-2009,372
WFCORE-2009,373
WFCORE-2009,374
WFCORE-2009,375
WFCORE-2009,376
WFCORE-2007,377
WFCORE-2007,378
WFCORE-2007,379
WFCORE-2007,380
WFCORE-2006,148
WFCORE-2006,381
WFCORE-2006,382
WFCORE-2006,383
WFCORE-2006,384
WFCORE-2005,385
WFCORE-2005,386
WFCORE-2002,387
WFCORE-2002,388
WFCORE-2002,389
WFCORE-2002,390
WFCORE-2002,391
WFCORE-2002,79
WFCORE-2002,392
WFCORE-1993,393
WFCORE-1993,394
WFCORE-1993,395
WFCORE-1993,396
WFCORE-1993,397
WFCORE-1993,398
WFCORE-1993,399
WFCORE-1993,400
WFCORE-1993,401
WFCORE-1993,402
WFCORE-1993,403
WFCORE-1993,404
WFCORE-1993,405
WFCORE-1993,406
WFCORE-1993,407
WFCORE-1993,408
WFCORE-1993,409
WFCORE-1992,410
WFCORE-1992,36
WFCORE-1992,29
WFCORE-1992,411
WFCORE-1992,412
WFCORE-1992,413
WFCORE-1992,282
WFCORE-1992,414
WFCORE-1992,415
WFCORE-1992,416
WFCORE-2186,417
WFCORE-2186,418
WFCORE-1985,419
WFCORE-1985,420
WFCORE-1985,421
WFCORE-1985,315
WFCORE-1985,422
WFCORE-1985,265
WFCORE-1985,423
WFCORE-1985,424
WFCORE-1985,240
WFCORE-1985,425
WFCORE-1985,426
WFCORE-1985,427
WFCORE-1985,428
WFCORE-1985,311
WFCORE-1985,429
WFCORE-1985,430
WFCORE-1983,79
WFCORE-1983,431
WFCORE-1983,432
WFCORE-1982,433
WFCORE-1982,387
WFCORE-1982,434
WFCORE-1982,435
WFCORE-1982,385
WFCORE-1982,436
WFCORE-1982,437
WFCORE-1982,438
WFCORE-1982,439
WFCORE-1982,440
WFCORE-1982,56
WFCORE-1982,79
WFCORE-1982,441
WFCORE-1982,442
WFCORE-1982,417
WFCORE-1982,443
WFCORE-1982,444
WFCORE-1982,392
WFCORE-1982,445
WFCORE-1980,410
WFCORE-1980,446
WFCORE-1980,385
WFCORE-1980,447
WFCORE-1980,319
WFCORE-1980,448
WFCORE-1980,29
WFCORE-1980,411
WFCORE-1980,113
WFCORE-1980,54
WFCORE-1980,449
WFCORE-1980,450
WFCORE-1980,451
WFCORE-1976,452
WFCORE-1976,95
WFCORE-1976,453
WFCORE-1976,454
WFCORE-1975,455
WFCORE-1975,61
WFCORE-1975,266
WFCORE-1975,191
WFCORE-1971,456
WFCORE-1971,457
WFCORE-1971,458
WFCORE-1971,459
WFCORE-1971,460
WFCORE-1970,79
WFCORE-1970,431
WFCORE-1970,432
WFCORE-1968,417
WFCORE-1968,443
WFCORE-1968,418
WFCORE-1967,461
WFCORE-1967,290
WFCORE-1967,462
WFCORE-1967,324
WFCORE-1967,463
WFCORE-1967,464
WFCORE-1967,465
WFCORE-1967,466
WFCORE-1967,467
WFCORE-1967,468
WFCORE-1967,469
WFCORE-1961,470
WFCORE-1961,471
WFCORE-1961,443
WFCORE-1961,472
WFCORE-1961,473
WFCORE-1951,431
WFCORE-1951,474
WFCORE-1951,335
WFCORE-1951,475
WFCORE-1951,476
WFCORE-1951,477
WFCORE-1951,478
WFCORE-1951,479
WFCORE-1951,480
WFCORE-1951,481
WFCORE-1951,482
WFCORE-1951,483
WFCORE-1951,484
WFCORE-1951,485
WFCORE-1951,68
WFCORE-1951,122
WFCORE-1951,486
WFCORE-1951,80
WFCORE-1951,267
WFCORE-1951,160
WFCORE-1949,487
WFCORE-1949,488
WFCORE-1949,489
WFCORE-1949,490
WFCORE-1949,491
WFCORE-1949,492
WFCORE-1949,493
WFCORE-1949,494
WFCORE-1949,495
WFCORE-1949,496
WFCORE-1949,453
WFCORE-1949,497
WFCORE-1949,498
WFCORE-1943,499
WFCORE-1943,500
WFCORE-1943,501
WFCORE-1943,385
WFCORE-1943,502
WFCORE-1943,503
WFCORE-1943,504
WFCORE-1943,505
WFCORE-1943,506
WFCORE-1943,507
WFCORE-1943,508
WFCORE-1943,509
WFCORE-1943,510
WFCORE-1943,511
WFCORE-1943,512
WFCORE-1943,513
WFCORE-1943,79
WFCORE-1943,514
WFCORE-1943,443
WFCORE-1943,515
WFCORE-1943,516
WFCORE-1943,517
WFCORE-1943,518
WFCORE-1943,519
WFCORE-1943,520
WFCORE-1943,521
WFCORE-1943,522
WFCORE-1943,523
WFCORE-1943,175
WFCORE-1943,524
WFCORE-1943,525
WFCORE-1943,526
WFCORE-1943,527
WFCORE-1943,528
WFCORE-1943,529
WFCORE-1943,530
WFCORE-1943,531
WFCORE-1943,305
WFCORE-1943,532
WFCORE-1943,533
WFCORE-1943,240
WFCORE-1943,331
WFCORE-1943,534
WFCORE-1943,57
WFCORE-1943,535
WFCORE-1943,536
WFCORE-1943,537
WFCORE-1943,538
WFCORE-1943,539
WFCORE-1943,540
WFCORE-1943,541
